STATE = 1	09:48	 SOC = 511.984375	Ps = -272.400024	Pl = 1737.989990	Ppv = 1478.400024	Pb = -272.400024	Plsec = 1703.125000	Ibat = -29.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 236.000000
STATE = 1	09:48	 SOC = 511.984375	Ps = -259.589966	Pl = 1737.030029	Ppv = 1478.939941	Pb = -259.589966	Plsec = 1703.125000	Ibat = -29.000000	Ubat = 59.640625	Iac_in = 0.781250	Uac = 236.000000
STATE = 1	09:49	 SOC = 511.984375	Ps = -2592.370117	Pl = 4060.479980	Ppv = 1471.359985	Pb = -2592.370117	Plsec = 1750.000000	Ibat = -29.000000	Ubat = 59.562500	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:49	 SOC = 511.984375	Ps = -2589.120117	Pl = 4045.760010	Ppv = 1471.359985	Pb = -2589.120117	Plsec = 1750.000000	Ibat = -29.000000	Ubat = 59.562500	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:49	 SOC = 511.984375	Ps = -2574.399902	Pl = 4030.399902	Ppv = 1471.359985	Pb = -2574.399902	Plsec = 1750.000000	Ibat = -29.000000	Ubat = 59.562500	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:49	 SOC = 511.984375	Ps = -2559.040039	Pl = 4019.280029	Ppv = 1471.359985	Pb = -2559.040039	Plsec = 1750.000000	Ibat = -29.000000	Ubat = 59.562500	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:49	 SOC = 511.984375	Ps = -2557.760010	Pl = 4012.579834	Ppv = 1443.760010	Pb = -2557.760010	Plsec = 1750.000000	Ibat = -29.000000	Ubat = 59.562500	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:49	 SOC = 511.984375	Ps = -2568.819824	Pl = 3999.669922	Ppv = 1424.409912	Pb = -2568.819824	Plsec = 1750.000000	Ibat = -29.000000	Ubat = 59.562500	Iac_in = 0.781250	Uac = 234.000000
STATE = 1	09:50	 SOC = 511.984375	Ps = -2575.260010	Pl = 1808.869995	Ppv = 1404.549927	Pb = -2575.260010	Plsec = 1750.000000	Ibat = -29.000000	Ubat = 59.562500	Iac_in = 0.781250	Uac = 234.000000
STATE = 1	09:50	 SOC = 511.984375	Ps = -404.320068	Pl = 1780.410034	Ppv = 1392.919922	Pb = -404.320068	Plsec = 1765.625000	Ibat = -29.000000	Ubat = 59.562500	Iac_in = 0.515625	Uac = 236.000000
STATE = 1	09:50	 SOC = 511.984375	Ps = -387.490112	Pl = 5274.000000	Ppv = 1381.589966	Pb = -387.490112	Plsec = 1765.625000	Ibat = -30.000000	Ubat = 59.562500	Iac_in = 0.781250	Uac = 236.000000
STATE = 1	09:50	 SOC = 511.984375	Ps = -4076.729980	Pl = 5470.149902	Ppv = 1381.589966	Pb = -4076.729980	Plsec = 2031.250000	Ibat = -34.000000	Ubat = 59.468750	Iac_in = 0.781250	Uac = 232.000000
STATE = 1	09:50	 SOC = 511.984375	Ps = -4088.560059	Pl = 5533.879883	Ppv = 1368.619995	Pb = -4088.560059	Plsec = 2093.750000	Ibat = -36.000000	Ubat = 59.390625	Iac_in = 0.781250	Uac = 232.000000
STATE = 1	09:50	 SOC = 511.984375	Ps = -4165.259766	Pl = 5521.719727	Ppv = 1358.489990	Pb = -4165.259766	Plsec = 2156.250000	Ibat = -36.000000	Ubat = 59.390625	Iac_in = 0.781250	Uac = 232.000000
STATE = 1	09:51	 SOC = 511.984375	Ps = -4163.229492	Pl = 6848.219727	Ppv = 1347.089966	Pb = -4163.229492	Plsec = 2187.500000	Ibat = -36.000000	Ubat = 59.390625	Iac_in = 0.781250	Uac = 230.000000
STATE = 1	09:51	 SOC = 511.984375	Ps = -5501.129883	Pl = 7712.100098	Ppv = 1334.169922	Pb = -5501.129883	Plsec = 2187.500000	Ibat = -37.000000	Ubat = 59.390625	Iac_in = 1.031250	Uac = 230.000000
STATE = 1	09:51	 SOC = 511.984375	Ps = -6377.930176	Pl = 7631.020020	Ppv = 1323.979980	Pb = -6377.930176	Plsec = 2062.500000	Ibat = -35.000000	Ubat = 59.390625	Iac_in = 0.781250	Uac = 229.000000
STATE = 1	09:51	 SOC = 511.984375	Ps = -6307.040039	Pl = 7593.569824	Ppv = 1323.979980	Pb = -6307.040039	Plsec = 2062.500000	Ibat = -34.000000	Ubat = 59.390625	Iac_in = 0.515625	Uac = 229.000000
STATE = 1	09:51	 SOC = 511.984375	Ps = -6269.589844	Pl = 4402.909668	Ppv = 1323.979980	Pb = -6269.589844	Plsec = 1968.750000	Ibat = -34.000000	Ubat = 59.390625	Iac_in = 0.781250	Uac = 234.000000
STATE = 1	09:51	 SOC = 511.984375	Ps = -3078.929688	Pl = 3970.759766	Ppv = 1323.979980	Pb = -3078.929688	Plsec = 1968.750000	Ibat = -28.000000	Ubat = 59.390625	Iac_in = 0.781250	Uac = 234.000000
STATE = 1	09:52	 SOC = 511.984375	Ps = -2646.779785	Pl = 3416.729980	Ppv = 1335.049927	Pb = -2646.779785	Plsec = 1500.000000	Ibat = -21.000000	Ubat = 59.468750	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:52	 SOC = 511.984375	Ps = -2081.680176	Pl = 3390.099854	Ppv = 1335.429932	Pb = -2081.680176	Plsec = 1015.625000	Ibat = -16.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 233.000000
STATE = 1	09:52	 SOC = 511.984375	Ps = -2054.669922	Pl = 3390.099854	Ppv = 1335.429932	Pb = -2054.669922	Plsec = 1078.125000	Ibat = -16.000000	Ubat = 59.562500	Iac_in = 0.265625	Uac = 234.000000
STATE = 1	09:52	 SOC = 511.984375	Ps = -2054.669922	Pl = 3403.269775	Ppv = 1352.890015	Pb = -2054.669922	Plsec = 1015.625000	Ibat = -18.000000	Ubat = 59.562500	Iac_in = 0.265625	Uac = 233.000000
STATE = 1	09:52	 SOC = 511.984375	Ps = -2050.379883	Pl = 3385.409668	Ppv = 1352.890015	Pb = -2050.379883	Plsec = 1015.625000	Ibat = -16.000000	Ubat = 59.562500	Iac_in = 0.515625	Uac = 233.000000
STATE = 1	09:52	 SOC = 511.984375	Ps = -2032.519653	Pl = 3133.489746	Ppv = 1364.679932	Pb = -2032.519653	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:53	 SOC = 511.984375	Ps = -1768.809814	Pl = 3078.259766	Ppv = 1376.049927	Pb = -1768.809814	Plsec = 718.750000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:53	 SOC = 511.984375	Ps = -1689.869873	Pl = 3078.259766	Ppv = 1402.089966	Pb = -1689.869873	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:53	 SOC = 511.984375	Ps = -1676.169800	Pl = 3089.059814	Ppv = 1402.089966	Pb = -1676.169800	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:53	 SOC = 511.984375	Ps = -1676.269897	Pl = 3102.309814	Ppv = 1412.789917	Pb = -1676.269897	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:53	 SOC = 511.984375	Ps = -1689.519897	Pl = 3102.309814	Ppv = 1412.789917	Pb = -1689.519897	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:53	 SOC = 511.984375	Ps = -1689.519897	Pl = 3102.309814	Ppv = 1412.789917	Pb = -1689.519897	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:54	 SOC = 511.984375	Ps = -1689.519897	Pl = 3102.309814	Ppv = 1412.789917	Pb = -1689.519897	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:54	 SOC = 511.984375	Ps = -1689.519897	Pl = 3102.309814	Ppv = 1422.899902	Pb = -1689.519897	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:54	 SOC = 511.984375	Ps = -1679.409912	Pl = 3102.309814	Ppv = 1422.899902	Pb = -1679.409912	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:54	 SOC = 511.984375	Ps = -1679.409912	Pl = 3090.629883	Ppv = 1422.899902	Pb = -1679.409912	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 234.000000
STATE = 1	09:54	 SOC = 511.984375	Ps = -1667.729980	Pl = 3092.500000	Ppv = 1435.780029	Pb = -1667.729980	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:54	 SOC = 511.984375	Ps = -1656.719971	Pl = 3092.500000	Ppv = 1435.780029	Pb = -1656.719971	Plsec = 781.250000	Ibat = -11.000000	Ubat = 59.640625	Iac_in = 0.265625	Uac = 235.000000
STATE = 1	09:55	 SOC = 511.984375	Ps = -1671.689941	Pl = 3107.469971	Ppv = 1435.780029	Pb = -1671.689941	Plsec = 781.250000	Ibat = -12.000000	Ubat = 59.562500	Iac_in = 0.265625	Uac = 235.000000
